season,sdp_route,route,direction,daytype,halfhour,paxhourstotal,paxhoursuncomfortable,planned_frequency,day_to_day_demand_variability,dropped_trips,within_day_demand_variability,headway_variability
Fall 2017,9,9,0,weekday,5.5,0.40386382,0,0,0,0,0,0
Fall 2017,9,9,0,weekday,6,0.850966907,0,0,0,0,0,0
Fall 2017,9,9,0,weekday,6.5,4.537876029,0,0,0,0,0,0
Fall 2017,9,9,0,weekday,7,7.334820028,0.045685082,0,0,0,0.039245817,0.006439265
Fall 2017,9,9,0,weekday,7.5,9.009428498,0.179258333,0,0,0,0.088290633,0.0909677
Fall 2017,9,9,0,weekday,8,10.32657058,0,0,0,0,0,0
Fall 2017,9,9,0,weekday,8.5,7.028228052,0,0,0,0,0,0
Fall 2017,9,9,0,weekday,9,5.052061145,0,0,0,0,0,0
Fall 2017,9,9,0,weekday,9.5,5.000704253,0,0,0,0,0,0
Fall 2017,9,9,0,weekday,10,3.668451509,0,0,0,0,0,0
Fall 2017,9,9,0,weekday,10.5,2.740389266,0,0,0,0,0,0
Fall 2017,9,9,0,weekday,11,3.674788649,0,0,0,0,0,0
Fall 2017,9,9,0,weekday,11.5,4.200444924,0,0,0,0,0,0
Fall 2017,9,9,0,weekday,12,5.214253601,0,0,0,0,0,0
Fall 2017,9,9,0,weekday,12.5,6.266748217,0,0,0,0,0,0
Fall 2017,9,9,0,weekday,13,6.932871091,0.056216049,0,0.056216049,0,0,0
Fall 2017,9,9,0,weekday,13.5,7.355657579,0.065165432,0,0.065165432,0,0,0
Fall 2017,9,9,0,weekday,14,11.18627267,0,0,0,0,0,0
Fall 2017,9,9,0,weekday,14.5,12.23566399,0.075137586,0,0.075137586,0,0,0
Fall 2017,9,9,0,weekday,15,14.17448604,0.263337071,0,0.094403241,0,0,0.168933831
Fall 2017,9,9,0,weekday,15.5,20.16829184,0.853239506,0,0.463034956,0,0.031583516,0.358621033
Fall 2017,9,9,0,weekday,16,24.61245816,1.165881516,0,0.497286239,0.022169951,0.021359612,0.625065715
Fall 2017,9,9,0,weekday,16.5,35.1958046,2.856931379,0,0.208152761,0.788078447,0.304394869,1.556305302
Fall 2017,9,9,0,weekday,17,61.22742219,9.568450514,0,1.482960506,0,5.321658334,2.763831674
Fall 2017,9,9,0,weekday,17.5,77.258662,17.33516677,0,3.786499437,1.629188361,10.50631622,1.413162751
Fall 2017,9,9,0,weekday,18,59.46007486,8.106706104,0,1.790579841,0,4.615684295,1.700441968
Fall 2017,9,9,0,weekday,18.5,51.88965617,7.956321639,0,0.489354234,0.61317264,5.174419072,1.679375693
Fall 2017,9,9,0,weekday,19,34.13314191,2.72826358,0,0.308599193,0.330754162,1.709514193,0.379396032
Fall 2017,9,9,0,weekday,19.5,28.3770059,1.695759431,0,0.236150312,0.020185088,1.007768239,0.431655791
Fall 2017,9,9,0,weekday,20,15.37214407,0.215126063,0,0,0.068009259,0.147116804,0
Fall 2017,9,9,0,weekday,20.5,10.43728807,0.06145048,0,0,0.012120782,0,0.049329698
Fall 2017,9,9,0,weekday,21,5.381355487,0,0,0,0,0,0
Fall 2017,9,9,0,weekday,21.5,4.264470782,0,0,0,0,0,0
Fall 2017,9,9,0,weekday,22,4.115788306,0,0,0,0,0,0
Fall 2017,9,9,0,weekday,22.5,3.301151063,0,0,0,0,0,0
Fall 2017,9,9,0,weekday,23,2.30660751,0,0,0,0,0,0
Fall 2017,9,9,0,weekday,23.5,1.29662596,0,0,0,0,0,0
Fall 2017,9,9,0,weekday,24,0.812657373,0,0,0,0,0,0
Fall 2017,9,9,0,weekday,24.5,0.456044342,0,0,0,0,0,0
Fall 2017,9,9,0,weekday,25,0.296483299,0,0,0,0,0,0
Fall 2017,9,9,0,weekday,25.5,0.087902538,0,0,0,0,0,0
Fall 2017,9,9,1,weekday,5,2.798512037,0,0,0,0,0,0
Fall 2017,9,9,1,weekday,5.5,4.364624211,0,0,0,0,0,0
Fall 2017,9,9,1,weekday,6,14.57104386,0,0,0,0,0,0
Fall 2017,9,9,1,weekday,6.5,30.88138978,1.621810597,0,0,0.217589626,1.242914031,0.161306939
Fall 2017,9,9,1,weekday,7,49.97731763,8.567561523,0,2.734964189,0,5.832597334,0
Fall 2017,9,9,1,weekday,7.5,94.76788179,32.61874232,0,4.518096679,9.305047569,0,18.79559807
Fall 2017,9,9,1,weekday,8,125.9865218,52.62589558,0,22.6597809,1.269951691,0,28.69616298
Fall 2017,9,9,1,weekday,8.5,90.07165377,24.86459647,2.499076626,3.301327627,0.506532867,12.96919691,5.588462441
Fall 2017,9,9,1,weekday,9,33.98987606,2.188761866,0,0.043377033,0,2.006384886,0.138999946
Fall 2017,9,9,1,weekday,9.5,16.81422795,0.008475411,0,0,0,0.008475411,0
Fall 2017,9,9,1,weekday,10,10.51791509,0,0,0,0,0,0
Fall 2017,9,9,1,weekday,10.5,9.171290089,0,0,0,0,0,0
Fall 2017,9,9,1,weekday,11,7.239586454,0,0,0,0,0,0
Fall 2017,9,9,1,weekday,11.5,8.245117318,0,0,0,0,0,0
Fall 2017,9,9,1,weekday,12,7.694093073,0,0,0,0,0,0
Fall 2017,9,9,1,weekday,12.5,5.454977503,0,0,0,0,0,0
Fall 2017,9,9,1,weekday,13,6.863155418,0,0,0,0,0,0
Fall 2017,9,9,1,weekday,13.5,7.742898903,0,0,0,0,0,0
Fall 2017,9,9,1,weekday,14,6.915577469,0.10034441,0,0,0.03730607,0.06303834,0
Fall 2017,9,9,1,weekday,14.5,10.33971523,0.689623868,0,0.171344661,0,0,0.518279207
Fall 2017,9,9,1,weekday,15,9.250394924,0,0,0,0,0,0
Fall 2017,9,9,1,weekday,15.5,9.984634636,0.101401955,0,0,0.059370679,0,0.042031276
Fall 2017,9,9,1,weekday,16,10.51512191,0,0,0,0,0,0
Fall 2017,9,9,1,weekday,16.5,12.48932479,0,0,0,0,0,0
Fall 2017,9,9,1,weekday,17,13.56389513,0,0,0,0,0,0
Fall 2017,9,9,1,weekday,17.5,13.82432387,0,0,0,0,0,0
Fall 2017,9,9,1,weekday,18,12.52465309,0,0,0,0,0,0
Fall 2017,9,9,1,weekday,18.5,8.885804595,0,0,0,0,0,0
Fall 2017,9,9,1,weekday,19,6.657578155,0,0,0,0,0,0
Fall 2017,9,9,1,weekday,19.5,4.174850686,0,0,0,0,0,0
Fall 2017,9,9,1,weekday,20,3.162635768,0,0,0,0,0,0
Fall 2017,9,9,1,weekday,20.5,1.48132452,0,0,0,0,0,0
Fall 2017,9,9,1,weekday,21,1.381866495,0,0,0,0,0,0
Fall 2017,9,9,1,weekday,21.5,0.960865535,0,0,0,0,0,0
Fall 2017,9,9,1,weekday,22,1.780842593,0,0,0,0,0,0
Fall 2017,9,9,1,weekday,22.5,1.002441427,0,0,0,0,0,0
Fall 2017,9,9,1,weekday,23,1.71271965,0,0,0,0,0,0
Fall 2017,9,9,1,weekday,23.5,0.869907064,0,0,0,0,0,0
Fall 2017,9,9,1,weekday,24,0.710538134,0,0,0,0,0,0
Fall 2017,9,9,1,weekday,24.5,0.134976234,0,0,0,0,0,0
Fall 2017,9,9,1,weekday,25,,0,0,0,0,0,0
