season,sdp_route,route,direction,daytype,halfhour,paxhourstotal,paxhoursuncomfortable,planned_frequency,day_to_day_demand_variability,dropped_trips,within_day_demand_variability,headway_variability
Fall 2017,29,29,0,weekday,6,0.880145713,0,0,0,0,0,0
Fall 2017,29,29,0,weekday,6.5,3.439936077,0,0,0,0,0,0
Fall 2017,29,29,0,weekday,7,4.956126852,0,0,0,0,0,0
Fall 2017,29,29,0,weekday,7.5,3.387131653,0,0,0,0,0,0
Fall 2017,29,29,0,weekday,8,3.394297394,0,0,0,0,0,0
Fall 2017,29,29,0,weekday,8.5,2.82865775,0,0,0,0,0,0
Fall 2017,29,29,0,weekday,9,2.585201234,0,0,0,0,0,0
Fall 2017,29,29,0,weekday,9.5,2.651862209,0,0,0,0,0,0
Fall 2017,29,29,0,weekday,10,0.269976132,0,0,0,0,0,0
Fall 2017,29,29,0,weekday,10.5,1.679003807,0,0,0,0,0,0
Fall 2017,29,29,0,weekday,11,1.600574726,0,0,0,0,0,0
Fall 2017,29,29,0,weekday,11.5,0.960016838,0,0,0,0,0,0
Fall 2017,29,29,0,weekday,12,2.262232202,0,0,0,0,0,0
Fall 2017,29,29,0,weekday,12.5,0.114954081,0,0,0,0,0,0
Fall 2017,29,29,0,weekday,13,3.734377195,0,0,0,0,0,0
Fall 2017,29,29,0,weekday,13.5,0.500062826,0,0,0,0,0,0
Fall 2017,29,29,0,weekday,14,2.675941392,0,0,0,0,0,0
Fall 2017,29,29,0,weekday,14.5,3.670310357,0,0,0,0,0,0
Fall 2017,29,29,0,weekday,15,12.38468673,0.947674589,0,0.947674589,0,0,0
Fall 2017,29,29,0,weekday,15.5,5.843603326,0.131453875,0,0.131453875,0,0,0
Fall 2017,29,29,0,weekday,16,15.9049144,0.613689095,0,0.118311123,0.075988603,0.150977775,0.268411594
Fall 2017,29,29,0,weekday,16.5,16.23225017,0.037203704,0,0,0,0,0.037203704
Fall 2017,29,29,0,weekday,17,15.19489307,0.054480967,0,0,0,0.038304366,0.016176601
Fall 2017,29,29,0,weekday,17.5,10.54519407,0.154873045,0,0,0.091363478,0.025311133,0.038198435
Fall 2017,29,29,0,weekday,18,10.21120065,0.018832922,0,0,0,0,0.018832922
Fall 2017,29,29,0,weekday,18.5,5.615466667,0.00811725,0,0.00811725,0,0,0
Fall 2017,29,29,0,weekday,19,0.616470953,0,0,0,0,0,0
Fall 2017,29,29,0,weekday,19.5,,0,0,0,0,0,0
Fall 2017,29,29,0,weekday,20,4.600537757,0.119266838,0,0.119266838,0,0,0
Fall 2017,29,29,0,weekday,20.5,5.720280693,0.012032099,0,0.012032099,0,0,0
Fall 2017,29,29,0,weekday,21,4.839657373,0.149063409,0,0.149063409,0,0,0
Fall 2017,29,29,0,weekday,21.5,5.140305658,0.030008573,0,0.030008573,0,0,0
Fall 2017,29,29,0,weekday,22,3.321157648,0,0,0,0,0,0
Fall 2017,29,29,0,weekday,22.5,2.588335048,0,0,0,0,0,0
Fall 2017,29,29,0,weekday,23,3.344566495,0,0,0,0,0,0
Fall 2017,29,29,0,weekday,23.5,2.538157888,0,0,0,0,0,0
Fall 2017,29,29,0,weekday,24,2.092852606,0,0,0,0,0,0
Fall 2017,29,29,0,weekday,24.5,1.894272531,0,0,0,0,0,0
Fall 2017,29,29,0,weekday,25,1.127901166,0,0,0,0,0,0
Fall 2017,29,29,0,weekday,25.5,0.003765226,0,0,0,0,0,0
