season,sdp_route,route,direction,daytype,halfhour,paxhourstotal,paxhoursuncomfortable,planned_frequency,day_to_day_demand_variability,dropped_trips,within_day_demand_variability,headway_variability
Fall 2017,1,1,0,weekday,4.5,3.430899623,0,0,0,0,0,0
Fall 2017,1,1,0,weekday,5,6.496004012,0,0,0,0,0,0
Fall 2017,1,1,0,weekday,5.5,11.50838251,0,0,0,0,0,0
Fall 2017,1,1,0,weekday,6,14.85524376,0,0,0,0,0,0
Fall 2017,1,1,0,weekday,6.5,18.25589753,0,0,0,0,0,0
Fall 2017,1,1,0,weekday,7,28.37039273,0.505390192,0,0,0.052920508,0.05570795,0.396761734
Fall 2017,1,1,0,weekday,7.5,37.15763227,2.96607013,0,0.140969376,0.822229784,0.461027121,1.541843849
Fall 2017,1,1,0,weekday,8,43.28344938,3.757892524,0,1.174612334,0,1.898120879,0.68515931
Fall 2017,1,1,0,weekday,8.5,46.09606101,8.814246399,0,2.072903619,0.781342989,1.818594205,4.141405586
Fall 2017,1,1,0,weekday,9,36.50174451,3.007728258,0,0.598340157,0,1.240734195,1.168653905
Fall 2017,1,1,0,weekday,9.5,26.91699839,0.626555933,0,0,0.051875926,0.065694343,0.508985664
Fall 2017,1,1,0,weekday,10,24.18020463,0.486113306,0,0.076189701,0.028329778,0,0.381593827
Fall 2017,1,1,0,weekday,10.5,24.80240645,0.158530316,0,0.158530316,0,0,0
Fall 2017,1,1,0,weekday,11,25.24948927,0.453639986,0,0.084688775,0.016802926,0.004902631,0.347245655
Fall 2017,1,1,0,weekday,11.5,25.52621012,0.203223423,0,0.101944685,0,0.101278738,0
Fall 2017,1,1,0,weekday,12,26.01520209,0.724010459,0,0.198323799,0,0.407671613,0.118015047
Fall 2017,1,1,0,weekday,12.5,27.37872445,0.813628052,0,0.277419127,0,0.062633146,0.473575779
Fall 2017,1,1,0,weekday,13,25.8392439,0.532751475,0,0.074270611,0.106156139,0,0.352324726
Fall 2017,1,1,0,weekday,13.5,28.27303666,0.725332888,0,0.280616438,0,0,0.44471645
