season,sdp_route,route,direction,daytype,halfhour,paxhourstotal,paxhoursuncomfortable,planned_frequency,day_to_day_demand_variability,dropped_trips,within_day_demand_variability,headway_variability
Fall 2017,111,111,1,weekday,8,77.98990799,23.32720069,0,0.783516003,11.06090255,0,11.48278213
Fall 2017,111,111,1,weekday,8.5,59.31350456,8.997009979,0,4.098222237,0,0,4.898787743
Fall 2017,111,111,1,weekday,9,39.62767702,7.701928464,0,2.451331267,1.675010161,3.575587035,0
Fall 2017,111,111,1,weekday,9.5,36.11092713,9.70889273,0,1.104810768,5.092362574,0,3.511719388
Fall 2017,111,111,1,weekday,10,30.78613086,8.626355727,0,8.626355727,0,0,0
Fall 2017,111,111,1,weekday,10.5,26.15476742,3.755794307,0,3.755794307,0,0,0
Fall 2017,111,111,1,weekday,11,22.99708765,1.673844993,0,1.673844993,0,0,0
Fall 2017,111,111,1,weekday,11.5,21.03029006,1.871341187,1.058929662,0.812411525,0,0,0
Fall 2017,111,111,1,weekday,12,22.46779311,2.393737517,0,2.009869026,0,0,0.383868491
Fall 2017,111,111,1,weekday,12.5,22.30803745,2.208162106,0,2.05594337,0,0,0.152218736
Fall 2017,111,111,1,weekday,13,24.03223443,2.455685288,1.242603147,1.213082141,0,0,0
Fall 2017,111,111,1,weekday,13.5,26.32171303,3.833991769,0,2.65420907,0.644838358,0,0.534944341
Fall 2017,111,111,1,weekday,14,29.50513357,4.585239712,0,4.544054328,0,0,0.041185384
Fall 2017,111,111,1,weekday,14.5,37.53918563,12.24298261,0,6.970820165,3.145712935,0,2.126449513
Fall 2017,111,111,1,weekday,15,53.06784777,18.8429809,0,0.50037764,9.270763224,0,9.071840034
Fall 2017,111,111,1,weekday,15.5,45.5933095,6.106292353,0,2.055883716,0.143135868,0.343121409,3.56415136
Fall 2017,111,111,1,weekday,16,40.31377757,3.700545336,0,0.152929189,0.887449949,0.621428411,2.038737788
Fall 2017,111,111,1,weekday,16.5,36.82532363,4.830441838,0,0,2.271806979,0,2.558634859
Fall 2017,111,111,1,weekday,17,29.12680772,2.617472119,0,0,0.520211523,1.102240707,0.99501989
Fall 2017,111,111,1,weekday,17.5,19.64970586,0.063430933,0,0,0.026894307,0.036536626,0
Fall 2017,111,111,1,weekday,18,15.29109853,0,0,0,0,0,0
Fall 2017,111,111,1,weekday,18.5,8.550847737,0,0,0,0,0,0
Fall 2017,111,111,1,weekday,19,6.763059156,0.027190535,0,0,0.017655538,0,0.009534997
Fall 2017,111,111,1,weekday,19.5,5.308090226,0,0,0,0,0,0
Fall 2017,111,111,1,weekday,20,4.637545816,0,0,0,0,0,0
Fall 2017,111,111,1,weekday,20.5,5.478328978,0,0,0,0,0,0
Fall 2017,111,111,1,weekday,21,3.958291187,0,0,0,0,0,0
Fall 2017,111,111,1,weekday,21.5,5.248456687,0,0,0,0,0,0
Fall 2017,111,111,1,weekday,22,5.33060655,0,0,0,0,0,0
Fall 2017,111,111,1,weekday,22.5,3.710677709,0,0,0,0,0,0
Fall 2017,111,111,1,weekday,23,2.490072497,0,0,0,0,0,0
Fall 2017,111,111,1,weekday,23.5,1.859433985,0,0,0,0,0,0
Fall 2017,111,111,1,weekday,24,1.20072596,0,0,0,0,0,0
Fall 2017,111,111,1,weekday,24.5,0.293733608,0,0,0,0,0,0
Fall 2017,111,111,1,weekday,25,0.000592901,0,0,0,0,0,0
